timestamp,open,high,low,close,volume,sma20,std20,upper_band,lower_band,rsi14,high_3h,low_3h,atr20,atr20_median_all,atr20_roll_med180
2026-01-08 04:00:00,91186.0,91299.0,90781.1,91051.0,163.70879774,92022.16500000001,672.5100901315905,93367.18518026319,90677.14481973683,27.624451160403595,91690.7,90670.0,564.749999999999,233.28571428571428,371.21071428571616
2026-01-08 05:00:00,91051.0,91235.0,91037.6,91094.3,71.54506012,91954.375,695.0585744815877,93344.49214896318,90564.25785103682,22.787967271952965,91442.4,90670.0,559.3285714285709,233.28571428571428,372.1464285714293
2026-01-08 06:00:00,91094.2,91384.1,90877.4,91180.5,110.47188197,91865.505,673.2827891539348,93212.07057830787,90518.93942169214,26.007097939107112,91299.0,90670.0,576.7857142857143,233.28571428571428,374.1392857142855
2026-01-08 07:00:00,91180.4,91483.0,91013.0,91370.9,223.28465234,91793.33,642.8936370139355,93079.11727402787,90507.54272597213,42.87744524327023,91384.1,90781.1,530.192857142857,233.28571428571428,378.18928571428637
2026-01-08 08:00:00,91373.7,91510.2,91077.0,91390.1,136.87187053,91729.12000000001,613.7443386703021,92956.60867734061,90501.6313226594,36.30686055182714,91483.0,90877.4,533.1285714285706,233.28571428571428,381.25714285714434
2026-01-08 09:00:00,91390.0,91669.7,91300.0,91424.0,113.27365931,91673.755,586.9304607445805,92847.61592148917,90499.89407851084,33.932801547014705,91510.2,90877.4,536.6785714285704,233.28571428571428,382.24642857142885
2026-01-08 10:00:00,91424.1,91465.0,90760.0,90952.9,180.54992748,91590.37,563.3226270950001,92717.01525419,90463.72474580999,28.640796507120214,91669.7,91013.0,571.9785714285701,233.32142857142856,382.9714285714285
2026-01-08 11:00:00,90953.0,91113.6,90615.2,90813.0,147.50184627,91486.84,499.8318837236021,92486.5037674472,90487.1762325528,25.83444592790373,91669.7,90760.0,577.528571428571,233.35714285714286,383.2642857142861
2026-01-08 12:00:00,90812.9,91155.4,90706.7,91020.9,119.60210996,91401.79,416.36668794319985,92234.52337588639,90569.0566241136,32.31802911534129,91669.7,90615.2,553.3285714285709,233.35714285714286,384.9321428571436
2026-01-08 13:00:00,91021.1,91182.9,90756.8,90822.9,128.35157703,91357.35,428.7947803680634,92214.93956073614,90499.76043926388,38.382763665380814,91465.0,90615.2,513.4357142857136,233.35714285714286,390.96428571428675
2026-01-08 14:00:00,90823.0,90872.0,89887.9,89888.0,534.15431405,91252.865,515.5093191891857,92283.88363837838,90221.84636162163,27.905627538193613,91182.9,90615.2,538.2857142857143,233.39285714285714,397.16428571428696
2026-01-08 15:00:00,89888.0,90381.8,89630.4,90348.6,395.2841354,91165.86000000002,513.8566740447881,92193.57334808959,90138.14665191044,37.26575450228973,91182.9,89887.9,545.0071428571433,233.42857142857142,399.5678571428585
